Raw,Week,Away,Home,AwayScore,HomeScore
"Orlando Rage 33, Chicago Enforcers 29",1,ORL,CHI,33,29
"Las Vegas Outlaws 19, NY/NJ Hitmen 0",1,LV,NY,19,0
"San Francisco Demons 15, Los Angeles Xtreme 13",1,SF,LA,15,13
"Memphis Maniax 22, Birmingham Bolts 20",1,MEM,BIR,22,20
"Orlando Rage 26, San Francisco Demons 14",2,ORL,SF,26,14
"Los Angeles Xtreme 39, Chicago Enforcers 32 - 2 OT",2,LA,CHI,39,32
"Las Vegas Outlaws 25, Memphis Maniax 3",2,LV,MEM,25,3
"Birmingham Bolts 19, NY/NJ Hitmen 12",2,BIR,NY,19,12
"San Francisco Demons 13, Memphis Maniax 6",3,SF,MEM,13,6
"Los Angeles Xtreme 12, Las Vegas Outlaws 9",3,LA,LV,12,9
"Orlando Rage 18, NY/NJ Hitmen 12",3,ORL,NY,18,12
"Birmingham Bolts 14, Chicago Enforcers 3",3,BIR,CHI,14,3
"Orlando Rage 30, Birmingham Bolts 6",4,ORL,BIR,30,6
"NY/NJ Hitmen 13, Chicago Enforcers 0",4,NY,CHI,13,0
"Memphis Maniax 18, Los Angeles Xtreme 12",4,MEM,LA,18,12
"Las Vegas Outlaws 16, San Francisco Demons 9",4,LV,SF,16,9
"San Francisco Demons 39, Birmingham Bolts 10",5,SF,BIR,39,10
"Los Angeles Xtreme 22, NY/NJ Hitmen 7",5,LA,NY,22,7
"Orlando Rage 21, Memphis Maniax 19",5,ORL,MEM,21,19
"Chicago Enforcers 15, Las Vegas Outlaws 13",5,CHI,LV,15,13
"Memphis Maniax 29, Chicago Enforcers 23",6,MEM,CHI,29,23
"Orlando Rage 27, Las Vegas Outlaws 15",6,ORL,LV,27,15
"Los Angeles Xtreme 35, Birmingham Bolts 26",6,LA,BIR,35,26
"NY/NJ Hitmen 20, San Francisco Demons 12",6,NY,SF,20,12
"Las Vegas Outlaws 34, Birmingham Bolts 12",7,LV,BIR,34,12
"NY/NJ Hitmen 16, Memphis Maniax 15",7,NY,MEM,16,15
"Chicago Enforcers 25, San Francisco Demons 19",7,CHI,SF,25,19
"Los Angeles Xtreme 31, Orlando Rage 6",7,LA,ORL,31,6
"San Francisco Demons 21, memphis Maniax 12",8,SF,MEM,21,12
"Los Angeles Xtreme 35, Las Vegas Outlaws 26",8,LA,LV,35,26
"Chicago Enforcers13, Birmingham Bolts 0",8,CHI,BIR,13,0
"Orlando Rage 17, NY/NJ Hitmen 12",8,ORL,NY,17,12
"Orlando Rage 29, Birmingham Bolts 24",9,ORL,BIR,29,24
"Chicago Enforcers 23, NY/NJ HItmen 18",9,CHI,NY,23,18
"San Francisco Demons 14, Las Vegas Outlaws 9",9,SF,LV,14,9
"Memphis Maniax 27, Los Angeles Xtreme 12",9,MEM,LA,27,12
"Memphis Maniax 16, Las Vegas 3",10,MEM,LV,16,3
"Los Angeles Xtreme 24, San Francisco Demons 0",10,LA,SF,24,0
"Chicago Enforcers 23, Orlando Rage 6",10,CHI,ORL,23,6
"NY/NJ Hitmen 22, Birmingham Bolts 0",10,NY,BIR,22,0
"San Francisco Demons 26, Orlando 25",11,SF,ORL,26,25
"Los Angeles Xtreme 33, Chicago Enforcers 16",11,LA,CHI,33,16
"Los Angeles Xtreme 38, San Francisco Demons 6",12,LA,SF,38,6
