YardlineGrp,DistGrp,Suggested
1,1,Go
1,2,Go
1,3,Go
1,4,Punt
1,5,Punt
1,6,Punt
1,7,Punt
1,8,Punt
1,9,Punt
1,10,Punt
1,11+,Punt
2,1,Go
2,2,Go
2,3,Go
2,4,Go
2,5,Punt
2,6,Punt
2,7,Punt
2,8,Punt
2,9,Punt
2,10,Punt
2,11+,Punt
3,1,Go
3,2,Go
3,3,Go
3,4,Go
3,5,Go
3,6,Punt
3,7,Punt
3,8,Punt
3,9,Punt
3,10,Punt
3,11+,Punt
4,1,Go
4,2,Go
4,3,Go
4,4,Go
4,5,Go
4,6,Go
4,7,Punt
4,8,Punt
4,9,Punt
4,10,Punt
4,11+,Punt
5,1,Go
5,2,Go
5,3,Go
5,4,Go
5,5,Go
5,6,Go
5,7,Go
5,8,Punt
5,9,Punt
5,10,Punt
5,11+,Punt
6,1,Go
6,2,Go
6,3,Go
6,4,Go
6,5,Go
6,6,Go
6,7,Go
6,8,Go
6,9,Punt
6,10,Punt
6,11+,Punt
7,1,Go
7,2,Go
7,3,Go
7,4,Go
7,5,Go
7,6,Go
7,7,Go
7,8,Go
7,9,Go
7,10,Go
7,11+,Punt
8,1,Go
8,2,Go
8,3,Go
8,4,Go
8,5,Go
8,6,Go
8,7,Go
8,8,Go
8,9,Go
8,10,Go
8,11+,Field Goal
9,1,Go
9,2,Go
9,3,Go
9,4,Go
9,5,Go
9,6,Go
9,7,Go
9,8,Go
9,9,Field Goal
9,10,Field Goal
9,11+,Field Goal
10,1,Go
10,2,Go
10,3,Go
10,4,Go
10,5,Go
10,6,Go
10,7,Go
10,8,Field Goal
10,9,Field Goal
10,10,Field Goal
10,11+,Field Goal
11,1,Go
11,2,Go
11,3,Go
11,4,Go
11,5,Go
11,6,Go
11,7,Field Goal
11,8,Field Goal
11,9,Field Goal
11,10,Field Goal
11,11+,Field Goal
12,1,Go
12,2,Go
12,3,Go
12,4,Go
12,5,Go
12,6,Field Goal
12,7,Field Goal
12,8,Field Goal
12,9,Field Goal
12,10,Field Goal
12,11+,Field Goal
13,1,Go
13,2,Go
13,3,Go
13,4,Field Goal
13,5,Field Goal
13,6,Field Goal
13,7,Field Goal
13,8,Field Goal
13,9,Field Goal
13,10,Field Goal
13,11+,Field Goal
14,1,Go
14,2,Go
14,3,Go
14,4,Go
14,5,Field Goal
14,6,Field Goal
14,7,Field Goal
14,8,Field Goal
14,9,Field Goal
14,10,Field Goal
14,11+,Field Goal
